Nazwa,Kurs(PLN),Zmiana(%),Otwarcie,Min,Max,Obrot(szt),Obrot(PLN)
11 bit studios SA,406.00,-1.22,411.00,404.00,411.00,7761,3159243
4Fun Media SA,6.50,+0.31,6.32,6.32,6.50,8106,52173
AB SA,18.80,+0.27,18.80,18.50,18.95,1293,24292
AC SA,40.20,0.00,40.20,40.20,40.60,1886,76162
Action SA w restrukturyzacji,3.29,-1.20,3.24,3.22,3.29,4170,13464
Adiuvo Investments SA,8.38,+11.14,7.68,7.40,8.40,6364,50963
Agora SA,9.70,-2.02,9.90,9.54,9.90,25309,245552
Agroton Plc,3.07,+0.66,3.00,3.00,3.10,1826,5611
Ailleron SA,7.30,-1.35,7.22,7.22,7.30,3608,26104
Airway Medix SA,0.67,-1.76,0.68,0.64,0.68,5203,3382
Alior Bank SA,41.00,+1.03,40.62,40.58,41.20,332098,13575875
Alta SA,2.44,+4.27,2.44,2.30,2.44,23,53
Altus TFI SA,2.03,+4.42,1.99,1.99,2.04,5174,10389
Alumetal SA,35.00,-1.13,35.60,34.80,35.60,4252,148726
Ambra SA,17.50,+2.34,17.10,17.10,17.70,9133,158874
Amica SA,114.60,+0.35,114.40,113.00,114.80,20754,2348880
AmRest Holdings SE,43.25,-0.92,43.65,43.25,43.95,80616,3512552
Apator SA,22.10,0.00,22.40,22.10,22.80,3198,71465
Aplisens SA,10.40,0.00,10.40,10.40,10.40,14,146
APS Energia SA,2.00,0.00,2.00,2.00,2.00,21,42
Archicom SA,14.50,+7.81,14.00,14.00,14.50,60076,852409
Arctic Paper SA,3.13,0.00,3.13,3.13,3.13,300,939
Arcus SA,2.86,+10.00,2.52,2.50,2.86,55898,149710
Arteria SA,6.30,+6.78,5.90,5.90,6.30,4320,25994
Artifex Mundi SA,3.40,-4.36,3.50,3.40,3.50,2372,8188
ASBISc Enterprises PLC,2.45,+1.24,2.40,2.39,2.45,62403,152166
ASM Group SA,3.30,—,—,—,—,—,—
Asseco BS SA,28.60,+3.62,28.60,28.60,28.60,2,57
Asseco Poland SA,51.70,-0.19,51.90,51.40,52.95,36713,1915612
Asseco South Eastern Europe SA,19.70,-0.51,19.70,19.70,19.80,2456,48500
Astarta Holding NV,22.70,-0.87,22.90,22.70,22.90,1792,41027
Atal SA,37.10,+1.09,36.50,36.50,37.10,2806,103053
Atende SA,3.56,+2.89,3.46,3.46,3.56,20863,73924
Atlanta Poland SA,4.84,-0.41,4.84,4.84,4.84,1000,4840
Atlantis SE,0.56,+9.78,0.56,0.56,0.56,10,6
Atlas Estates Ltd.,1.46,0.00,1.47,1.46,1.47,3000,4390
ATM Grupa SA,4.69,+0.21,4.69,4.69,4.69,205,961
ATM SA,10.52,+0.38,10.80,10.06,10.80,508,5115
Atrem SA,2.01,—,—,—,—,—,—
AUGA Group AB,2.07,-0.96,2.07,2.07,2.07,6,12
Auto Partner SA,4.14,+1.72,4.13,4.09,4.18,79558,328757
Awbud SA,0.65,-10.34,0.65,0.65,0.65,11,7
Baltic Bridge SA,0.05,—,—,—,—,—,—
Banco Santander SA,16.58,+2.35,16.58,16.58,16.58,129,2139
Bank Handlowy SA,51.70,+0.58,51.30,51.30,51.80,66050,3406489
Bank Millennium SA,6.46,+0.94,6.39,6.37,6.54,529411,3424919
Bank Pekao SA,107.35,-0.05,107.40,106.85,107.70,421124,45141025
BBI Development SA,0.46,+2.23,0.45,0.44,0.46,11729,5328
Benefit Systems SA,694.00,-0.29,700.00,694.00,704.00,303,211678
Berling SA,4.12,+4.04,4.12,4.12,4.12,950,3914
Best SA,22.00,—,—,—,—,—,—
Betacom SA,10.48,-0.19,10.48,10.48,10.48,5,52
Biomed Lublin SA,0.98,0.00,0.98,0.98,0.98,200,196
Bioton SA,4.33,-0.92,4.37,4.30,4.40,8643,37629
Biuro Inwestycji Kapitałowych SA,15.70,-1.26,15.80,15.70,15.80,10,158
BNP Paribas Bank Polska SA,68.60,+0.88,68.00,68.00,68.60,2746,188374
BoomBit SA,22.29,+2.25,21.90,21.90,22.50,13114,290290
Boryszew SA,4.32,+0.23,4.24,4.24,4.34,93192,400534
Bowim SA,1.96,-2.00,1.98,1.96,1.98,4700,9216
BOŚ SA,7.44,+1.36,7.36,7.24,7.46,11850,87243
Braster SA,1.24,-2.82,1.27,1.24,1.29,86121,108822
British Automotive Holding SA,1.62,+1.13,1.55,1.55,1.62,13091,20790
BSC Drukarnia Opakowań SA,35.90,+1.41,35.90,35.50,35.90,2090,74975
Budimex SA,140.40,+1.59,139.40,137.00,142.60,3063,426912
Bumech SA,3.62,-1.36,3.60,3.54,3.62,720,2562
Capital Park SA,6.16,+2.33,5.99,5.99,6.16,2607,15654
Capital Partners SA,1.26,-8.70,1.26,1.26,1.26,4650,5859
CCC SA,139.10,-1.83,141.00,137.50,142.30,133505,18588742
CD Projekt SA,248.70,-0.92,251.00,248.00,253.00,169211,42235875
CDRL SA,19.10,+0.53,19.45,19.10,19.45,2268,43319
Celon Pharma SA,40.50,+0.87,40.15,39.90,41.30,10672,431371
Centrum Nowoczesnych Technologii SA,13.50,0.00,13.50,13.50,13.50,2,27
Ceramika Nowa Gala SA,0.73,0.00,0.73,0.73,0.74,73877,54300
CEZ a.s.,87.70,+1.15,88.25,87.70,88.25,6,529
CFI Holding SA,0.37,+0.55,0.37,0.37,0.37,26200,9619
Chemoservis-Dwory SA,0.33,—,—,—,—,—,—
CI Games SA,0.99,-1.39,1.01,0.98,1.01,531274,528971
Ciech SA,37.70,-2.20,38.55,37.30,38.85,37470,1420224
City Service SE,9.75,0.00,10.00,9.75,10.00,101,985
Coal Energy SA,0.43,—,—,—,—,—,—
Cognor Holding SA,1.76,+0.57,1.75,1.74,1.76,61059,106378
ComArch SA,179.00,0.00,179.00,179.00,179.00,20,3580
Comp SA,70.00,+3.24,67.40,67.40,71.60,135784,9493167
Comperia.pl SA,3.24,—,—,—,—,—,—
CPD SA,5.80,+0.87,5.70,5.40,5.80,1475,8260
CPI FIM SA,1.62,+1.89,1.59,1.59,1.63,16125,26022
Cyfrowy Polsat SA,27.74,+0.14,27.48,27.34,28.14,255150,7070041
Czerwona Torebka SA,0.40,—,—,—,—,—,—
DataWalk SA,45.00,+1.35,44.80,43.80,45.00,4934,220315
Decora SA,18.75,+0.54,18.60,18.50,18.75,392,7273
Dekpol SA,26.80,+0.37,26.70,26.00,26.80,879,23322
Delko SA,8.40,0.00,8.40,8.40,8.40,1548,13003
Develia SA,2.29,+0.66,2.28,2.28,2.32,37933,87417
DGA SA,6.84,0.00,6.84,6.84,6.84,21,144
Dino Polska SA,160.00,-0.25,159.10,158.50,160.50,246298,39362083
Dom Development SA,82.80,-0.48,83.20,80.80,83.20,25,2044
